"Parker O-Ring Chemical Compatibility Chart — Compatibility Tables for Gases, Fluids, Solids","","","","","","","","","","","","","","","","","","","","",""
"Source: Parker O-Ring & Engineered Seals Division, ORD 5700 O-Ring Handbook  |  2135 compounds  |  Ratings: 1=Satisfactory, 2=Fair, 3=Doubtful, 4=Unsatisfactory, X=Insufficient Data","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Compound / Fluid","Compound Code","NBR
(Nitrile)","HNBR
(Hydrog. Nitrile)","EPDM
(Ethylene Propylene)","FKM
(Fluorocarbon)","FKM
(Hifluor)","FFKM
(Perfluoroelastomer)","FEPM
(Aflas)","CR
(Neoprene)","SBR
(Styrene-Butadiene)","ACM
(Polyacrylate)","AU/EU
(Polyurethane)","IIR
(Butyl)","BR
(Butadiene)","IR
(Isoprene)","NR
(Natural Rubber)","CSM
(Hypalon)","FVMQ
(Fluorosilicone)","MQ/VMQ/PVMQ
(Silicone)","",""
"Isopropyl Alcohol","E0540-80","2","2","1","1","1","1","X","2","2","4","4","1","2","1","1","1","2","1","",""
"Isopropyl Chloride","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Isopropyl Ether","N0674-70","2","2","4","4","1","1","X","3","4","3","2","4","4","4","4","3","3","4","",""
"Isopropylacetone","E0540-80","3","3","1","3","2","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Isopropylamine","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Jet Fuel A","V1164-75","2","2","4","1","1","1","2","4","4","4","3","4","4","4","4","4","2","X","",""
"JP-10","V1164-75","3","3","4","1","1","1","2","4","4","4","3","4","X","X","4","X","1","4","",""
"JP-3 (MIL-J-5624)","N0674-70","1","1","4","1","1","1","2","4","X","X","X","X","X","X","X","X","X","X","",""
"JP-4 (MIL-T-5624) (Jet A1)","N0602-70","1","1","4","1","1","1","2","4","4","2","2","4","4","4","4","4","2","4","",""
"JP-5 (MIL-T-5624)","N0602-70","1","1","4","1","1","1","2","4","4","2","2","4","4","4","4","4","2","4","",""
"JP-6 (MIL-J-25656)","N0602-70","1","1","4","1","1","1","2","4","4","2","2","4","4","4","4","4","2","4","",""
"JP-8 (MIL-T-83133) (Jet A)","N0602-70","1","1","4","1","1","1","2","3","4","1","1","4","X","X","4","X","2","4","",""
"JP-9 (MIL-F-81912)","V1164-75","3","3","4","1","1","1","2","4","4","4","3","4","X","X","4","X","2","4","",""
"JP-9 -11","V1164-75","4","4","4","1","1","1","2","4","4","4","4","4","X","X","4","X","2","4","",""
"JPX (MIL-F-25604)","N0674-70","1","1","4","4","1","1","2","2","X","X","X","X","X","X","X","X","X","X","",""
"Karl Fischer Reagent","—","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Kel F Liquids","E0540-80","1","1","1","2","1","1","X","X","1","X","X","1","X","X","X","1","2","1","",""
"Kerosene (Similar to RP-1 and JP-1)","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","4","1","4","",""
"Keystone #87HX-Grease","N0674-70","1","1","4","1","1","1","X","4","4","1","1","4","4","4","4","4","1","4","",""
"Lacquer Solvents","V3819-75","4","4","4","4","1","1","X","4","4","4","4","4","4","4","4","4","4","4","",""
"Lacquers","V3819-75","4","4","4","4","1","1","X","4","4","4","4","4","4","4","4","4","4","4","",""
"Lactams-Amino Acids","E0540-80","4","4","2","4","1","1","X","2","4","X","X","2","4","4","4","2","4","X","",""
"Lactic Acid, Cold","N0674-70","1","1","1","1","1","1","X","1","1","4","X","1","1","1","1","1","1","1","",""
"Lactic Acid, Hot","V1164-75","4","4","4","1","1","1","X","4","4","4","X","4","4","4","4","3","2","2","",""
"Lactones (Cyclic Esters)","E0540-80","4","4","2","4","1","1","X","4","4","4","4","2","4","4","4","4","4","2","",""
"Lard Animal Fat","N0674-70","1","1","2","1","1","1","X","2","4","1","1","2","4","4","4","4","1","2","",""
"Lauric Acid","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Lavender Oil","V1164-75","2","2","4","1","1","1","1","4","X","X","X","X","X","X","X","X","X","X","",""
"LB 135","N0674-70","1","1","1","1","1","1","1","1","X","X","X","X","X","X","X","X","X","X","",""
"Lead (Molten)","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Lead Acetate","E0540-80","2","2","1","4","1","1","X","2","4","4","4","1","4","1","1","4","4","4","",""
"Lead Arsenate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Lead Azide","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Lead Bromide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Lead Carbonate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Lead Chloride","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Lead Chromate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Lead Dioxide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Lead Linoleate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Lead Naphthenate","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Lead Nitrate","N0674-70","1","1","1","X","1","1","X","1","1","X","X","1","1","1","1","1","1","2","",""
"Lead Oxide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Lead Sulfamate","C0873-70","2","2","1","1","1","1","X","1","2","4","X","1","2","2","2","1","1","2","",""
"Lehigh X1169","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","4","",""
"Lehigh X1170","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","4","",""
"Light Grease","N0674-70","1","1","4","1","1","1","1","4","X","X","X","X","X","X","X","X","X","X","",""
"Ligroin (Petroleum Ether or Benzene)","N0674-70","1","1","4","1","1","1","X","2","4","1","2","4","4","4","4","3","1","4","",""
"Lime Bleach","N0674-70","1","1","1","1","1","1","1","1","X","X","X","X","X","X","X","X","X","X","",""
"Lime Sulfur","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Lindol, Hydraulic Fluid (Phosphate ester type)","E0540-80","4","4","1","2","1","1","X","4","4","4","4","1","4","4","4","4","3","3","",""
"Linoleic Acid","S0604-70","2","2","4","2","1","1","X","2","4","X","X","4","4","4","4","2","X","2","",""
"Linseed Oil","N0674-70","1","1","3","1","1","1","X","3","4","1","2","3","4","4","4","2","1","1","",""
"Liquid Oxygen (LOX)","Factory","4","4","4","4","3","2","X","4","4","4","4","4","4","4","4","4","4","4","",""
"Liquid Petroleum Gas (LPG)","N0674-70","1","1","4","1","1","1","X","2","4","3","1","4","4","4","4","4","1","3","",""
"Liquimoly","N0674-70","1","1","4","1","1","1","X","2","4","1","2","4","4","4","4","4","1","4","",""
"Lithium Bromide (Brine)","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Lithium Carbonate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Lithium Chloride","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Lithium Citrate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Lithium Hydroxide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Lithium Hypochlorite","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Lithium Nitrate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Lithium Nitrite","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Lithium Perchlorate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Lithium Salicylate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Lithopone","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Lubricating Oils (Crude & Refined)","V1164-75","2","2","4","1","1","1","1","3","X","X","X","X","X","X","X","X","X","X","",""
"Lubricating Oils (Synthetic base)","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Lubricating Oils, Di-ester","V1164-75","2","2","4","1","1","1","X","3","4","2","X","4","4","4","4","X","2","4","",""
"Lubricating Oils, petroleum base","N0674-70","1","1","4","1","1","1","X","2","4","1","2","4","4","4","4","4","1","4","",""
"Lubricating Oils, SAE 10, 20, 30, 40, 50","N0674-70","1","1","4","1","1","1","X","2","4","1","2","4","4","4","4","4","1","4","",""
"Lye Solutions","E0540-80","2","2","1","2","1","1","X","2","2","4","4","1","2","2","1","1","2","2","",""
"Magnesium Chloride","N0674-70","1","1","1","1","1","1","X","1","1","X","1","1","1","1","1","1","1","1","",""
"Magnesium Hydroxide","E0540-80","2","2","1","1","1","1","X","2","2","4","4","1","2","2","2","1","X","X","",""
"Magnesium Salts","N0674-70","1","1","1","1","1","1","X","1","1","1","1","1","1","1","1","1","1","1","",""
"Magnesium Sulfite and Sulfate","N0674-70","1","1","1","1","1","1","X","1","2","4","X","1","2","2","2","1","1","1","",""
"Magnesium Trisilicate","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Malathion","V1164-75","2","2","4","1","1","1","X","X","4","X","X","4","4","4","4","X","2","4","",""
"Maleic Acid","V1164-75","4","4","4","1","1","1","X","4","4","4","X","4","4","4","4","4","X","X","",""
"Maleic Anhydride","E0540-80","4","4","2","4","1","1","X","4","4","4","X","2","4","4","4","4","X","X","",""
"Maleic Hydrazide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Malic Acid","V1164-75","1","1","2","1","1","1","X","2","2","4","X","4","2","1","3","2","1","2","",""
"Mandelic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Manganese Acetate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Manganese Carbonate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Manganese Chloride","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Manganese Dioxide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Manganese Gluconate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Manganese Hypophosphite","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Manganese Linoleate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Manganese Naphthenate","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Manganese Phosphate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Manganese Sulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Manganous Chloride","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Manganous Phosphate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Manganous Sulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Mannitol","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"MCS 312","V1164-75","4","4","4","1","1","1","X","4","4","4","X","4","4","4","4","X","1","1","",""
"MCS 352","E1267-80","4","4","1","4","1","1","X","4","4","4","4","2","4","4","4","4","3","3","",""
"MCS 463","E1267-80","4","4","1","4","1","1","X","4","4","4","4","2","4","4","4","4","3","3","",""
"MDI (Methylene di-p-phenylene isocyanate)","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Mercaptan","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Mercaptobenzothiazole (MBT)","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Mercuric Acetate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Mercuric Chloride","N0674-70","1","1","1","1","1","1","X","1","1","X","X","1","1","1","1","1","X","X","",""
"Mercuric Cyanide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Mercuric Iodide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Mercuric Nitrate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Mercuric Sulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Mercuric Sulfite","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Mercurous Nitrate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Mercury","N0674-70","1","1","1","1","1","1","X","1","1","X","X","1","1","1","1","1","X","X","",""
"Mercury Chloride","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Mercury Fulminate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Mercury Salts","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Mercury Vapors","E0540-80","1","1","1","1","1","1","X","1","1","X","X","1","1","1","1","1","X","X","",""
"Mesityl Oxide (Ketone)","E0540-80","4","4","2","4","1","1","X","4","4","4","4","2","4","4","4","4","4","4","",""
"Meta-Cresol","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Meta-Nitroaniline","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Meta-Toluidine","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Metaldehyde","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Methacrylic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Methallyl Chloride","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Methane","N0674-70","1","1","4","1","1","1","X","2","4","1","3","4","4","4","4","2","3","4","",""
"Methanol","E0540-80","4","4","1","4","1","1","X","1","1","4","4","1","1","1","1","1","1","1","",""
"Methoxychlor","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Methoxyethanol (DGMMA)","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Methyl Abietate","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Methyl Acetate","E0540-80","4","4","2","4","2","1","X","2","4","4","4","2","4","4","4","4","4","4","",""
"Methyl Acetoacetate","E0540-80","4","4","2","4","1","1","X","4","X","4","4","2","X","X","X","4","4","2","",""
"Methyl Acetophenone*","V1164-75","X","X","X","1","2","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Methyl Acrylate","E0540-80","4","4","2","4","1","1","X","2","4","4","4","2","4","4","4","4","4","4","",""
"Methyl Alcohol","E0540-80","4","4","1","4","1","1","X","1","1","4","4","1","1","1","1","1","1","1","",""
"Methyl Amylketone","E0540-80","3","3","1","3","2","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Methyl Anthranilate","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Methyl Benzoate","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","1","4","",""
"Methyl Bromide","V1164-75","2","2","4","1","1","1","X","4","4","3","X","4","4","4","4","4","1","X","",""
"Methyl Butyl Ketone","E0540-80","4","4","1","4","2","1","X","4","4","4","4","1","4","4","4","4","4","4","",""
"Methyl Butyrate Cellosolve","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Methyl Butyrate Chloride","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Methyl Carbonate","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Methyl Cellosolve","E0540-80","3","3","2","4","1","1","X","3","4","4","4","2","4","4","4","2","4","4","",""
"Methyl Cellulose","N0674-70","2","2","2","4","1","1","X","2","2","4","2","2","2","2","2","2","4","2","",""
"Methyl Chloride","V1164-75","4","4","3","1","1","1","X","4","4","4","4","3","4","4","4","4","2","4","",""
"Methyl Chloroacetate","E0540-80","3","3","1","3","2","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Methyl Chloroform","V1164-75","4","4","4","1","1","1","4","4","X","X","X","X","X","X","X","X","X","X","",""
"Methyl Chloroformate","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Methyl Chlorosilanes","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Methyl Cyanide (Acetonitrile)","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Methyl Cyclohexanone","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Methyl Dichloride","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Methyl Ether","N0674-70","1","1","4","1","2","1","X","3","4","4","X","4","1","1","4","4","1","1","",""
"Methyl Ethyl Ketone (MEK)","E0540-80","4","4","1","4","2","1","X","4","4","4","4","1","4","4","4","4","4","4","",""
"Methyl Ethyl Ketone Peroxide","S0604-70","4","4","4","4","1","1","X","4","4","4","4","4","4","4","4","4","4","2","",""
"Methyl Ethyl Oleate","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Methyl Formate","C0873-70","4","4","2","X","1","1","X","2","4","X","X","2","4","4","4","2","X","X","",""
"Methyl Hexyl Ketone (2-Octanone)","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Methyl Iodide","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Methyl Isobutyl Ketone (MIBK)","Factory","4","4","3","4","1","1","X","4","4","4","4","3","4","4","4","4","4","4","",""
"Methyl Isocyanate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Methyl Isopropyl Ketone","E0540-80","4","4","2","4","1","1","X","4","4","4","4","2","4","4","4","4","4","4","",""
"Methyl Isovalerate","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Methyl Lactate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Methyl Mercaptan","E0540-80","X","X","1","X","1","1","X","X","X","X","X","1","X","X","X","X","X","X","",""
"Methyl Methacrylate","V3819-75","4","X","4","4","1","1","X","4","4","4","X","4","4","4","4","4","4","4","",""
"Methyl Oleate","V1164-75","4","4","2","1","1","1","X","4","4","X","X","2","4","X","4","4","2","X","",""
"Methyl Pentadiene","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Methyl Phenylacetate","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Methyl Salicylate","E0540-80","4","4","2","X","1","1","X","4","3","X","X","2","X","X","3","4","X","X","",""
"Methyl Tertiary Butyl Ether (MTBE)","V3819-75","3","3","3","3","2","1","2","3","X","X","X","X","X","X","X","X","X","X","",""
"Methyl Valerate","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Methyl-2-Pyrrolidone or n-Methyl-2-Pyrroli-","E0540-80","X","X","2","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Methylacrylic Acid","E0540-80","4","4","2","3","1","1","X","2","4","4","4","2","4","4","4","4","4","4","",""
"Methylal","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Methylamine","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Methylamyl Acetate","E0540-80","3","3","1","3","2","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Methylcyclopentane","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Methyldiethanolamine (MDEA)","—","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Methylene Bromide","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Methylene Chloride","V1164-75","4","4","4","2","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Methylene Iodide","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Methylglycerol","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Methylisobutyl Carbinol","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Methylphenyl Carbinol","—","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Methylpyrrolidine","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Methylpyrrolidone","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Methylsulfuric Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"MIL-A-6091","E1267-80","2","2","1","1","1","1","X","1","1","4","4","1","1","1","1","1","1","1","",""
"MIL-C-4339","N0304-75","1","1","4","1","1","1","X","4","4","1","1","4","4","4","4","4","1","3","",""
"MIL-C-7024","N0602-70","1","1","4","1","1","1","X","2","4","2","1","4","4","4","4","4","1","4","",""
"MIL-C-8188","V1164-75","2","2","4","2","1","1","X","4","4","3","4","4","4","4","4","4","2","4","",""
"MIL-E-9500","E1267-80","1","1","1","1","1","1","X","1","1","4","4","1","1","1","1","1","1","1","",""
"MIL-F-16884","N0304-75","1","1","4","1","1","1","X","3","4","1","3","4","4","4","4","3","1","4","",""
"MIL-F-17111","N0304-75","1","1","4","1","1","1","X","2","4","1","3","4","4","4","4","2","2","4","",""
"MIL-F-25558 (RJ-1)","N0602-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","4","",""
"MIL-F-25656","N0602-70","1","1","4","1","1","1","X","4","4","2","2","4","4","4","4","4","2","4","",""
"MIL-F-5566","E1267-80","2","2","1","1","1","1","X","2","2","4","2","1","2","1","1","1","1","1","",""
"MIL-F-81912 (JP-9)","V1164-75","3","3","4","1","1","1","X","4","4","4","3","4","X","X","4","X","2","4","",""
"MIL-F-82522 (RJ-4)","N0602-70","2","2","4","1","1","1","X","4","4","1","1","4","1","1","1","X","1","4","",""
"MIL-G-10924","N0304-75","1","1","4","1","1","1","X","2","4","2","1","4","4","4","4","2","1","4","",""
"MIL-G-15793","N0304-75","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","2","4","",""
"MIL-G-21568","E1267-80","1","1","1","1","1","1","X","1","1","1","1","1","1","1","1","1","1","4","",""
"MIL-G-23827","—","1","X","4","1","1","1","X","3","X","3","3","3","X","X","X","X","1","4","",""
"MIL-G-25013","V1164-75","1","1","1","1","1","1","X","2","1","1","3","1","4","4","2","2","1","4","",""
"MIL-G-25537","N0304-75","1","1","4","1","1","1","X","2","4","2","1","4","4","4","4","2","1","4","",""
"MIL-G-25760","V1164-75","2","2","4","1","1","1","X","2","4","2","2","4","4","4","4","2","2","4","",""
"MIL-G-3278","L1120-70","2","2","4","1","1","1","X","4","4","1","2","4","4","4","4","4","2","4","",""
"MIL-G-3545","N0304-75","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","4","",""
"MIL-G-4343","V1164-75","2","2","3","1","1","1","X","2","1","1","1","3","1","1","1","1","1","3","",""
"MIL-G-5572","N0602-70","1","1","4","1","1","1","X","4","4","2","2","4","4","4","4","4","1","4","",""
"MIL-G-7118","N0304-75","2","2","4","1","1","1","X","2","4","3","3","4","4","4","4","2","1","4","",""
"MIL-G-7187","N0304-75","1","1","4","1","1","1","X","4","4","1","1","4","4","4","4","4","1","4","",""
"MIL-G-7421","L1120-70","2","2","4","1","1","1","X","2","4","4","2","4","4","4","4","2","2","4","",""
"MIL-G-7711","N0304-75","1","1","4","1","1","1","X","4","4","2","1","4","4","4","4","4","1","2","",""
"MIL-H-13910","E1267-80","1","1","1","1","1","1","X","1","1","2","4","1","1","1","1","1","2","4","",""
"MIL-H-19457","V1164-75","4","4","2","1","1","1","X","4","4","4","4","1","4","4","4","4","4","3","",""
"MIL-H-22072","N0304-75","1","X","1","2","1","1","X","2","X","X","4","4","X","X","X","X","2","2","",""
"MIL-H-22251","E1267-80","2","2","1","X","X","X","X","2","2","X","X","1","X","X","X","2","X","4","",""
"MIL-H-27601","V1164-75","1","1","4","1","1","1","X","2","4","1","3","4","4","4","4","3","2","4","",""
"MIL-H-46170 -15°F to +400°F","V1164-75","1","1","4","1","1","1","X","2","4","2","2","4","4","4","4","2","1","4","",""
"MIL-H-46170 -20°F to +275°F","N0756-75","1","1","4","1","1","1","X","2","4","2","2","4","4","4","4","2","1","4","",""
"MIL-H-46170 -55°F to +275°F","N0756-75","1","1","4","1","1","1","X","2","4","2","2","4","4","4","4","2","1","4","",""
"MIL-H-46170 -65°F to +275°F","N0756-75","1","1","4","1","1","1","X","2","4","2","2","4","4","4","4","2","1","4","",""
"MIL-H-5606 -65°F to +235°F","N0756-75","1","1","4","1","1","1","X","2","4","2","2","4","4","4","4","2","1","4","",""
"MIL-H-5606 -65°F to +275°F","N0756-75","1","1","4","1","1","1","X","2","4","2","2","4","4","4","4","2","1","4","",""
"MIL-H-6083","N0304-75","1","1","4","1","1","1","X","1","4","1","1","4","4","4","2","2","1","4","",""
"MIL-H-7083","E1267-80","1","1","1","2","1","1","X","2","2","4","4","1","3","3","2","2","1","1","",""
"MIL-H-81019","LM158-70","1","X","4","1","1","1","X","2","X","1","2","4","X","X","X","X","1","3","",""
"MIL-H-8446 (MLO-8515)","V1164-75","2","2","4","1","1","1","X","1","4","3","4","4","4","4","4","X","1","4","",""
"MIL-J-5161","N0602-70","2","2","4","1","1","1","X","4","4","1","2","4","4","4","4","4","1","4","",""
"MIL-L-15016","N0304-75","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","2","4","",""
"MIL-L-15017","N0304-75","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","2","4","",""
"MIL-L-17331","V1164-75","1","1","4","1","1","1","X","X","4","X","X","4","4","4","4","X","X","4","",""
"MIL-L-2104","N0304-75","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","3","1","4","",""
"MIL-L-21260","N0304-75","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","4","",""
"MIL-L-23699","V1164-75","2","2","4","1","1","1","X","3","4","3","3","4","4","4","4","3","2","4","",""
